Genotype	EV_V6	PH_V6	PH_final	DtSILK	RL_R6
DH_KE0046	5.38516265841431	75.0128445112688	149.733348866588	80.1942161934007	1.3856357820329
DH_KE0047	5.09661241832439	80.3464550232876	124.394113317774	77.3680174998204	7.90685113561007
DH_KE0048	4.25324436233622	56.9849840360027	119.878151415329	80.2564297964695	1.78221615107783
DH_KE0049	3.0153625528718	55.4641684541627	120.520022900624	80.8544639931172	2.18308974258487
DH_KE0050	5.45410495125639	75.0154889406263	145.084287185505	76.737268548189	5.68491746756782
DH_KE0051	4.57146919495703	61.1615891162879	113.855951983857	76.4604433443042	1.58622751809856
DH_KE0052	4.94386920249854	72.3458070266609	123.775862906952	74.5398958539212	1.20950457701797
DH_KE0053	5.31686017529627	71.9127509004974	166.36006940802	77.0181809772299	7.89110531087719
DH_KE0054	4.94064320411645	67.4266989372579	119.786525025018	80.6903028714541	8.74069775906919
DH_KE0055	2.50302660380316	44.8433811356561	122.870070641076	82.9727200988089	1.80184969741766
DH_KE0057	2.62489470635017	41.5560505295329	105.442249598009	74.8215062350838	1.5980238348083
DH_KE0058	5.72927551074958	64.8510658864752	120.225145195979	73.0615755787817	0.864817903132873
DH_KE0059	5.94845015388936	74.5203416415627	135.667248074515	75.80288000573	1.2827149695182
DH_KE0060	6.07585879995249	77.2703965859643	151.594788083012	69.2086702784597	1.68716489526282
DH_KE0061	4.33415225335414	53.889908320904	134.743957262262	75.9373089566173	0.881455044769892
DH_KE0062	6.16426542726886	78.8223193318818	148.655855771483	82.4555370369036	2.36769334545189
DH_KE0063	5.69767078752638	78.0556286265532	166.670963580391	77.7545652363129	2.10169401942266
DH_KE0064	5.48062694463908	71.8401495390133	131.323835133701	69.3764747849608	1.16882962486413
DH_KE0065	6.373523099353	82.6922453947816	145.988178742658	77.1225602674231	1.49781067303114
DH_KE0066	5.04594573389145	65.8308155587358	177.294345043721	88.1612915236077	2.60869903027468
DH_KE0067	5.1105446865939	67.8907762902367	117.665054467654	74.9991662184206	5.670425430258
