Genotype EME SE_EME EV_V3 SE_EV_V3 EV_V4 SE_EV_V4 EV_V6 SE_EV_V6 PH_V4 SE_PH_V4 PH_V6 SE_PH_V6 PH_final SE_PH_final EH SE_EH EarTasDist SE_EarTasDist DtSILK SE_DtSILK RL_R6 SE_RL_R6 TILL SE_TILL
DH_KE0010 40.9450290493718 8.03749975521184 2.67328708234218 0.655786889839787 2.84701795254839 0.596171059656719 3.40437019623109 0.605039528121944 21.85167993091 3.11466841652619 55.0733169784979 6.90422308551751 133.172513810193 13.6811745960175 65.9577555050115 10.3148308471496 71.4626296012363 9.61977245731746 82.7780727902248 2.74985401368361 1.89863031755828 0.992539205177007 NA NA
DH_KE0011 83.3954356100309 5.75442728510919 4.71033620559338 0.588887511714886 5.45359314736589 0.480490713099104 6.0023474529547 0.487917538994054 24.6298352589132 2.66061601968107 68.7131841065387 6.23337417076692 135.557503191359 12.4915652318419 61.535714927533 9.03056574298707 78.6959060535687 7.34345181533921 81.9834660203892 2.42830675974089 1.10873182478854 0.992788033782961 4.00592305920794 0.736051947271991
DH_KE0012 89.9926458073168 8.03689688500109 6.75394260613332 0.655527004955564 6.76256413038704 0.595984265925487 6.94747649123516 0.604824777052921 37.192127005971 3.11369945520763 84.9143612194254 6.90206379172413 122.402900091856 13.677359178052 68.5485380251103 10.3035720087243 62.904754743857 9.60891107634944 71.7030619347915 2.74949104028474 2.63767037783654 0.99225314395133 NA NA
DH_KE0013 2.671653063701 8.03786778620973 2.10870388360861 0.972028267672294 1.71733906859936 0.915459633630997 1.2607050674307 0.704716287824753 10.6495343640968 3.49305388101696 31.6822530673486 9.13205268873859 138.946364799294 14.5263844710741 58.4568853234346 11.3845809247665 68.9025913088823 11.5398225640873 91.6703096040733 3.71325459904932 7.1643360292454 1.62106017066382 NA NA
DH_KE0014 79.2406926849116 8.0373962569198 5.01942153013907 0.655703225027376 4.63705047946228 0.596135451921417 5.33657563404593 0.604971576940591 27.2106023572028 3.11437512990854 70.8359845905248 6.9033023955898 151.428776969766 13.6802131946014 85.8368182347103 10.3117714345698 72.1116353804785 9.61631795083169 81.2553370611635 2.74987879349236 7.5394212639482 0.992732021835544 NA NA
DH_KE0015 69.7709754893863 8.03724215053989 4.1004042089314 0.655636592412666 4.17970025132741 0.596058904197952 4.95681837441648 0.604919825606757 27.2796909361775 3.11409821820374 69.9208504150125 6.90307600024855 185.921966412837 13.678893790896 92.1675613293181 10.305267687769 98.9361015687438 9.60985615324826 82.0866009279621 2.74964801555686 5.98793109279527 0.992341972709678 NA NA
DH_KE0017 73.4012550998225 5.75401837237952 5.26733801094058 0.588528558078843 5.09218232264586 0.480332749430446 5.48450203121036 0.487724912967156 30.3970268870795 2.6598056500343 72.4856526645391 6.23177170753921 164.973063608322 12.489026692122 63.4178536680451 9.02995062055716 113.229641211439 7.34341339563997 78.2084203795528 2.42808117681131 3.43954234384089 0.992257056847852 6.09925734076851 0.735980927512485
DH_KE0018 62.6449672450623 8.03705061575941 5.74824767481927 0.655571977606418 5.16390695597927 0.596027129145673 5.04732172972791 0.604869204448065 35.1652548474762 3.11387443703792 83.3435825807255 6.90241588628547 197.246835033574 13.6781656990396 101.595385098073 10.3066512096856 94.7361756343999 9.61203829795487 82.1077503522797 2.7495776293639 2.42091178371576 0.992476022209182 NA NA
DH_KE0020 89.2571040148755 8.03612348278458 5.56125974066143 0.824395981174422 5.04559381219212 0.59576928272234 4.85046445666792 0.604625836868798 27.6465744973525 3.11265931757929 64.6998049699759 6.89986741571368 134.361179502362 13.674088972481 55.3379879099138 10.2983783311618 81.3891472355664 9.60256700362183 80.3442477420682 2.74912748258942 NA NA 0.977400597680026 0.736163078180405
DH_KE0024 86.5322178631312 5.75391787710162 5.15617168281733 0.588493971939922 4.59384058319021 0.480363412295253 6.59004648887828 0.487776026608372 32.2288797410764 2.65995745277999 84.7201730983714 6.23207542693191 182.554264999717 12.4902185160589 61.8926009499489 9.02962662871803 129.258629446951 7.34350835846528 77.9835290278299 2.42810647809312 3.0378651155691 0.992586299684162 0.97912253000291 0.73613321123971
DH_KE0025 82.8041863931656 5.75365114426872 4.13295940886838 0.588307045973971 3.29475615619918 0.480248352184213 3.64842549412803 0.487641647706978 26.0853945717434 2.65944635702767 55.0481020883285 6.23107462185214 138.376774709324 12.4881110680693 63.9771510800072 9.02455738670402 83.2316192307586 7.33656964407758 86.3235928735185 2.42790231528674 4.1672085594765 0.991635828801533 1.72698041271621 0.735990082384426
